"date"	"station"	"addr"	"price gal"	"gallons (+adj)"	"miles (+adjs)"	"mileage"	"fee"	"notes"		"miles real"	"miles listed"	"miles per gal"	"dol per mile"	"days per gallon"	"gal per day"	"dol per day"	"spent"	"total spent"
01/06/2001	"exxon"	"bakersfield, ca"	1.939	11.882	316						74265							
01/08/2001	"shell"	"29 wildwood"	1.799	13.324	312			"with 1/15, trip to pt reys"			74577	23.4163914740318	0.0768265256410256				23.969876	23.969876
01/15/2001	"chevron"	"1500 university"	1.799	14.049	312			"with 1/8"			74889	22.2079863335469	0.0810068942307692	0.525367757430201	1.90342857142857	3.424268	25.274151	49.244027
01/27/2001	"arco"	"33 university"	1.559	13.311	370			"kelsi to sf"			75259	27.7965592367215	0.0560860783783784	0.854153320521034	1.17075	1.82519925	20.751849	69.995876
02/02/2001	"arco"	"33 university"	1.559	13.384	335			"100 to/from alameda"			75594	25.0298864315601	0.0622855402985075	0.450755014649538	2.2185	3.4586415	20.865656	90.861532
02/10/2001	"touchless"		1.84933670246368	12.664	277						75871	21.8730259001895	0.0845487364620939	0.597728631201434	1.673	3.09394030322173	23.42	114.281532
02/17/2001	"arco"		1.819	12.774	280						76151	21.9195240331924	0.0829853785714286	0.552747946936197	1.80914285714286	3.29083085714286	23.235906	137.517438
02/24/2001	76			12.75	270						76421	21.1764705882353	0	0.547988100829811	1.82485714285714	0	0	137.517438
03/02/2001	"rotten robbie"	"los gatos, ca"	1.718	9.369	"?"						76421							
03/16/2001	"chevron"	"3048 ashby"	1.839	13.332	268						76689	20.1020102010201	0.0914833880597015	1.49428967872772	0.669214285714286	1.23068507142857	24.517548	162.034986
03/26/2001	"shell"	"29 wildwood"	1.819	14.185	340						77029	23.968981318294	0.07588975	0.75007500750075	1.3332	2.4250908	25.802515	187.837501
04/15/2001				13.014	320			"trip to la"			77349	24.5889042569541	0	1.4099400775467	0.70925	0	0	187.837501
04/16/2001				12.06	376			"all socal"			77725	31.1774461028192	0	0.0768403258029814	13.014	0	0	187.837501
04/17/2001	"chevron"	"3048 ashby"	1.979	14.362	421			"socal to home"			78146	29.3134660910737	0.0675116342042755	0.0829187396351575	12.06	23.86674	28.422398	216.259899
04/30/2001	"chevron"	"2998 telegraph"	1.978	13.058	612			"kelsi filled, no reset"			78758	46.8678204931843	0.0422037973856209	0.90516641136332	1.10476923076923	2.18523353846154	25.828724	242.088623
05/18/2001	"arco"	"833 university"	1.979	13.788	321						79079	23.2811140121845	0.085004523364486	1.37846530862307	0.725444444444444	1.43565455555556	27.286452	269.375075
05/27/2001	"shell"	"1701 park, alameda"	1.949	14.141	320			"reset at 332=79399"			79399	22.629234141857	0.086127528125	0.652741514360313	1.532	2.985868	27.560809	296.935884
06/10/2001	76	"livermore, ca"	2.059	5.172	443	80706		"la to sf, not a fill?"			79842	85.6535189481825	0.0240387088036117	0.990028993706244	1.01007142857143	2.07973707142857	10.649148	307.585032
06/17/2001	"xtra"	"shattuck/ashby"	1.83	13.577	302.7	81009					80144.7	22.2950578183693	0.082080971258672	1.35344160866203	0.738857142857143	1.35210857142857	24.84591	332.430942
07/01/2001	"hamilton"	"1200 ashby"	1.999	14.323	325						80469.7	22.6907770718425	0.0880974676923077	1.03115563084628	0.969785714285714	1.93860164285714	28.631677	361.062619
07/02/2001	"flying j"	"lebec, ca"	1.669	11.961	337			"sf to la"			80806.7	28.1749017640666	0.059237118694362	0.0698177756056692	14.323	23.905087	19.962909	381.025528
07/03/2001	"flying j"	"lebec, ca"	1.649	12.694	364			"la with some I5, no reset til 383"			81170.7	28.6749645501812	0.0575066098901099	0.0836050497450046	11.961	19.723689	20.932406	401.957934
"7/3-8/2/01?"			1.879	10.566	305			"fwy"			95692.6	28.8661745220519	0.0650934885245902	-2572.24880382775	-0.000388764880952381	-0.000730489211309524	19.853514	1746.076048
07/04/2001	"chevron"	"3048 ashby"	1.979	13.469	364			"la to sf"			81534.7	27.0250204172544	0.0732284368131868	0.0787773751378604	12.694	25.121426	26.655151	448.466599
07/12/2001	"shell"	"piedmont/mac"	1.959	13.81	319						81853.7	23.0992034757422	0.0848081191222571	0.593956492686911	1.683625	3.298221375	27.05379	475.520389
07/17/2001	"texaco"	"manteca, ca"	1.599	11.11	249						82102.7	22.4122412241224	0.0713449397590361	0.362056480811006	2.762	4.416438	17.76489	493.285279
07/26/2001	"chevron"	"1500 university"	1.919	14.297	335	83614					82437.7	23.4314891235924	0.0818983373134328	0.81008100810081	1.23444444444444	2.36889888888889	27.435943	520.721222
08/02/2001	"shell"	"43921 osgood"	1.739	14.418	337.9						82775.6	23.4359827992787	0.0742021367268423	1.44014401440144	0.694375	1.207518125	25.072902	545.794124
08/05/2001	"oyster petroleum"	"davis, ca"	1.899	14.185	361			"miles maybe wrong, stef did reset"			83136.6	25.449418399718	0.0746186011080333	0.208073241781107	4.806	9.126594	26.937315	572.731439
08/05/2001	76	"la"	1.65	20.195	573			"miles includes an earlier 5 gal fill"			83709.6	28.3733597425105	0.0581531413612565	0	"Err:503"	"Err:503"	33.32175	606.053189
08/06/2001	"chevron"	"1500 university"	1.859	14.231	409			"la to sf with 5 ppl"			84118.6	28.7400744852786	0.0646832004889975	0.0495172072295123	20.195	37.542505	26.455429	632.508618
08/13/2001	"flying j"	"lebec, ca"	1.389	12.558	373			"sf to la, ac"			84491.6	29.7021818760949	0.0467642412868633	0.491883915395967	2.033	2.823837	17.443062	649.95168
08/16/2001	"unocal"	"lebec, ca"	1.679	11.705	365			"socal + fwy"			84856.6	31.1832550192226	0.053843	0.238891543239369	4.186	7.028294	19.652695	669.604375
"8/6-8/16/01?"			1.759	10.934	340			"pinecrest r.t."			96032.6	31.0956648984818	0.0565673705882353	-2667.75987451875	-0.000374846330643006	-0.000659354695601047	19.232906	1620.098118
08/17/2001	"chevron"	"3048 ashby"	1.719	13.81	409			"la to sf, ac"			85265.6	29.6162201303403	0.0580425183374083	0.0854335753951303	11.705	20.120895	23.73939	712.576671
08/21/2001	"gas&shop"	"morgan hill, ca"	1.619	13.52	369.2			"""+1.7G""?"			85634.8	27.3076923076923	0.059287323943662	0.427167876975651	2.341	3.790079	21.88888	734.465551
08/26/2001	"chevron"	"3048 ashby"	1.689	13.995	343						85977.8	24.5087531261165	0.0689141545189504	0.369822485207101	2.704	4.567056	23.637555	758.103106
09/08/2001	"grand gas"	"san leandro, ca"	"?"	"?"	"?"		8.33	"card ends '7593'"			85977.8	"Err:503"	"Err:503"	0.928903179707038	1.07653846153846	0	0	758.103106
09/12/2001	"touchless?"		"?"	"?"	"?"		25.02	"no miles, gals, rate"			85977.8	"Err:503"	"Err:503"	"Err:503"	"Err:503"	"Err:503"	0	758.103106
09/12/2001	"touchless"		1.799	13.905	332						86309.8	23.876303487954	0.075346671686747	"Err:503"	"Err:503"	"Err:503"	25.015095	783.118201
09/18/2001	"arco"	"833 university"	1.699	13.589	344	88258	0.35				86653.8	25.3145926852601	0.0671154389534884	0.431499460625674	2.3175	3.9374325	23.087711	806.205912
09/22/2001				14.9	407			"to la, ac"			87060.8	27.3154362416107	0	0.294355728898374	3.39725	0	0	806.205912
09/23/2001	"chevron"	"westley, ca"	1.799	14.362	445			"la to sf for 345, ac, cruise"			87505.8	30.9845425428213	0.058061208988764	0.0671140939597315	14.9	26.8051	25.837238	832.04315
10/02/2001	"arco"	"833 university"	1.759	14.328	319						87824.8	22.2640982691234	0.0790061191222571	0.626653669405375	1.59577777777778	2.80697311111111	25.202952	857.246102
10/16/2001	"arco"	"6407 telegraph"	1.719	14.278	305	89736	0.35	"unl 89!"			88129.8	21.3615352290237	0.0804717442622951	0.977107761027359	1.02342857142857	1.75927371428571	24.543882	881.789984
11/03/2001	"touchless"		1.799	14.277	289	90026					88418.8	20.2423478321776	0.0888730899653979	1.26068076761451	0.793222222222222	1.42700677777778	25.684323	907.474307
11/09/2001	"chevron"	"firebaugh, ca"	1.759	14.238	362			"left for la at 260, ac"			88780.8	25.424919230229	0.0691840939226519	0.42025635637739	2.3795	4.1855405	25.044642	932.518949
11/09/2001	"mobil"	"kettleman city, ca"	1.499	14.6	432			"cruise from 260-432"			89212.8	29.5890410958904	0.0506606481481481	0	"Err:503"	"Err:503"	21.8854	954.404349
12/07/2001	"manfredi's depot"	"dunsmuir, ca"	1.459	15.303	231			"""fill at 231"""			89443.8	15.0950793961968	0.096654012987013	1.91780821917808	0.521428571428571	0.760764285714286	22.327077	976.731426
01/03/2002	"valero"	"1894 university"	1.359	12.972	360			"some from la"		93304	89803.8	27.7520814061055	0.0489693	1.7643599294256	0.566777777777778	0.770251	17.628948	994.360374
04/04/2002	76	"mayfair ave, daly city"	1.739	13.642	318					97306	90121.8	23.310365049113	0.0746020062893082	7.01510946654332	0.142549450549451	0.247893494505494	23.723438	1018.083812
04/13/2002	"valero"	"1894 university"	1.699	13.354	333					97645	90454.8	24.9363486595777	0.0681334714714715	0.659727312710746	1.51577777777778	2.57530644444444	22.688446	1040.772258
04/20/2002	"xtra"	"2996 shattuck"	1.519	13.035	324					97970	90778.8	24.8561565017261	0.0611116203703704	0.524187509360491	1.90771428571429	2.897818	19.800165	1060.572423
04/27/2002	"chevron"	"?"	1.69	11.9	388			"kelsi's record"			91166.8	32.6050420168067	0.0518324742268041	0.537015726889145	1.86214285714286	3.14702142857143	20.111	1080.683423
05/03/2002	"valero"	"1894 university"	1.699	13.458	347					98733	91513.8	25.7839203447763	0.0658937809798271	0.504201680672269	1.98333333333333	3.36968333333333	22.865142	1103.548565
05/13/2002	76	"claremont"	"?"	14.187	337.8			"kelsi via phone"			91851.6	23.8105307676041	0	0.743052459503641	1.3458	0	0	1103.548565
05/20/2002	"valero"	"1894 university"	1.699	14.537	340			"lots of palo alto <-> sf traffic"		99437	92191.6	23.3885946206232	0.0726422441176471	0.493409459364207	2.02671428571429	3.44338757142857	24.698363	1128.246928
05/27/2002	"touchless"	"2176 kittredge st"	1.499	14.648	377			"possibly ""311"" not ""377"""		99814	92568.6	25.7373020207537	0.0582423129973475	0.481529889248125	2.07671428571429	3.11299471428572	21.957352	1150.20428
06/01/2002	"chevron"	"cutting blvd, richmond"	1.619	14.255	381					100196	92949.6	26.7274640477026	0.0605743963254593	0.341343528126707	2.9296	4.7430224	23.078845	1173.283125
06/11/2002	"valero"	"1894 university"	1.699	14.026	373			"over two receipts"			93322.6	26.5934692713532	0.0638878659517426	0.701508242721852	1.4255	2.4219245	23.830174	1197.113299
06/19/2002	"valero"	"1894 university"	1.699	13.789	364			"kelsi's note"			93686.6	26.397853361375	0.064361293956044	0.5703693141309	1.75325	2.97877175	23.427511	1220.54081
06/24/2002	"valero"	"1894 university"	1.699	14.272	385					101318	94071.6	26.9758968609865	0.0629821506493506	0.362607875843063	2.7578	4.6855022	24.248128	1244.788938
07/07/2002	"chevron"	"airport blvd, south sf"	1.939	14.993	345					101663	94416.6	23.0107383445608	0.0842650057971014	0.910874439461883	1.09784615384615	2.12872369230769	29.071427	1273.860365
07/20/2002	76	"lakeshore"	1.679	14.263	335					101999	94751.6	23.4873448783566	0.0714853044776119	0.867071299939972	1.15330769230769	1.93640361538462	23.947577	1297.807942
08/03/2002	"touchless"	"2176 kittredge st"	1.499	13.679	358					102357	95109.6	26.1715037648951	0.0572760363128492	0.981560681483559	1.01878571428571	1.52715978571429	20.504821	1318.312763
08/19/2002	"kwik serv"	"escalon, ca"	1.539	11.798	278			"cruise from 220; 200.. to pinecrest"		102636	95387.6	23.56331581624	0.0653133884892086	1.1696761459171	0.8549375	1.3157488125	18.157122	1336.469885
08/30/2002	"shell"	"29 wildwood"	1.679	13.677	390			"come from pinecrest"		103026	95777.6	28.51502522483	0.0588812384615385	0.932361417189354	1.07254545454545	1.80080381818182	22.963683	1359.433568
09/06/2002	"valero"	"1894 university"	1.699	14.167	405					103431	96182.6	28.5875626455848	0.0594314395061728	0.511808145061051	1.95385714285714	3.31960328571429	24.069733	1383.503301
09/15/2002	"arco"	"5131 shattuck"	1.499	13.987	367		0.35			103798	96549.6	26.2386501751627	0.0571294632152589	0.635279169901885	1.57411111111111	2.35959255555556	20.966513	1404.469814
09/22/2002	"shell"	"29 wildwood"	1.799	"?"	310			"paid by ejp"		104109	96859.6	"Err:503"	"Err:503"	0.500464717237435	1.99814285714286	3.594659	0	1404.469814
09/30/2002	"shell"	"el sobrante"	1.879	14.549	370			"paid by kelsi"		104479	97229.6	25.4313011203519	0.073885327027027	"Err:503"	"Err:503"	"Err:503"	27.337571	1431.807385
10/13/2002	"?"	"?"	1.549	11.479	298			"paid by someone else"		104776	97527.6	25.9604495165084	0.0596676879194631	0.893532201525878	1.11915384615385	1.73356930769231	17.780971	1449.588356
10/19/2002	"shell"	"?"	1.529	17.22	304			"paid by kelsi"		105166	97831.6	17.6538908246225	0.0866098026315789	0.522693614426344	1.91316666666667	2.92523183333333	26.32938	1475.917736
10/28/2002	"arco"	"833 university"	1.429	14.124	373		0.35			105541	98204.6	26.4089493061456	0.0541104450402145	0.522648083623693	1.91333333333333	2.73415333333333	20.183196	1496.100932
11/08/2002	"chevron"	"1400 powell emeryville"	1.779	14.337	350					105895	98554.6	24.4123596289321	0.0728729228571428	0.778816199376947	1.284	2.284236	25.505523	1521.606455
11/14/2002	"valero"	"1894 university"	1.599	14.534	384			"mostly k"		106279	98938.6	26.4208063850282	0.060520484375	0.418497593638837	2.3895	3.8208105	23.239866	1544.846321
11/26/2002	"?"	"?"	1.76	10.945	264			"paid by kelsi"		106928	99202.6	24.1206030150754	0.0729666666666667	0.825650199532131	1.21116666666667	2.13165333333333	19.2632	1564.109521
12/04/2002	76	"221 airport blvd, s sf"	1.799	14.6	380					107309	99582.6	26.027397260274	0.0691194736842105	0.730927364093193	1.368125	2.461256875	26.2654	1590.374921
12/10/2002	"arco"	"833 university"	1.539	5.601	382			"kelsi paid, big nozzle problems"		107691	99964.6	68.2021067666488	0.0225652853403141	0.410958904109589	2.43333333333333	3.7449	8.619939	1598.99486
12/11/2002	"arco"	"6407 telegraph"	1.529	13.802	140		0.35			107838	100104.6	10.1434574699319	0.150737557142857	0.178539546509552	5.601	8.563929	21.103258	1620.098118
12/18/2002	"beacon"	"richmond"	1.599	12.455	299			"paid by kelsi"		108137	100403.6	24.0064231232437	0.0666071739130435	0.507172873496595	1.97171428571429	3.15277114285714	19.915545	1640.013663
12/21/2002	"arco"	"195 niblick rd, paso robles"	1.419	13.264	354		0.35			108491	100757.6	26.6887816646562	0.053168406779661	0.240867121637896	4.15166666666667	5.891215	18.821616	1658.835279
12/25/2002	"arco"	"5131 shattuck"	1.539	14.283	420		0.35	"paso robles trip, paid by kelsi"		108912	101177.6	29.4055870615417	0.0523369928571428	0.301568154402895	3.316	5.103324	21.981537	1680.816816
01/04/2003	"arco"	"4449 central pl, fairfield"	1.469	13.733	361		0.35			109273	101538.6	26.2870458020826	0.0558830387811634	0.700133025274802	1.4283	2.0981727	20.173777	1700.990593
01/11/2003	"arco"	"833 university"	1.539	14.63	418		0.35			109691	101956.6	28.5714285714286	0.053865	0.509721109735673	1.96185714285714	3.01929814285714	22.51557	1723.506163
01/19/2003	"arco"	"3000 shattuck"	1.599	14.115	395		0.35	"paid by x4262"		110087	102351.6	27.9844137442437	0.0571389493670886	0.546821599453178	1.82875	2.92417125	22.569885	1746.076048
01/28/2003	"shell"	"29 wildwood"	1.839	14.432	334			"paid by kelsi"		110421	102685.6	23.1430155210643	0.0794624191616767	0.637619553666312	1.56833333333333	2.884165	26.540448	1772.616496
02/03/2003	"valero"	"1894 university"	1.899	14.715	413			"419 reset"		113836	103098.6	28.0665987088005	0.0676604963680387	0.415742793791574	2.40533333333333	4.567728	27.943785	1800.560281
02/12/2003	"arco"	"5131 shattuck"	1.859	14.24	397		0.35			111239	103495.6	27.8792134831461	0.0666805037783375	0.611620795107034	1.635	3.039465	26.47216	1827.032441
02/17/2003	"shell"	"25712 ward dr, kettleman city"	1.919	14.255	386			"from 111 is drive to la, some cruise. carrying monitor and computer"		111626	103881.6	27.0782181690635	0.0708687694300518	0.351123595505618	2.848	5.465312	27.355345	1854.387786
02/19/2003	"?"	"lost hills ca"	1.749	14.162	416			"back from la, heavy traffic then cruise"		112043	104297.6	29.3743821494139	0.0595416778846154	0.14030164854437	7.1275	12.4659975	24.769338	1879.157124
02/22/2003	"valero"	"1894 university"	1.999	12.709	344			"lots of drew driving from la"		112387	104641.6	27.0674325281297	0.0738525901162791	0.211834486654427	4.72066666666667	9.43661266666667	25.405291	1904.562415
02/27/2003	"arco"	"35?1 fair oaks blvd, sacramento"	1.939	13.911	382		0.35	"kelsi to sacto, paid by kelsi"		112773	105023.6	27.4602832290993	0.0706110706806283	0.393421984420489	2.5418	4.9285502	26.973429	1931.535844
03/07/2003	"shell"	"29 wildwood"	2.199	14.474	366					113139	105389.6	25.286721016996	0.0869626393442623	0.575084465530875	1.738875	3.823786125	31.828326	1963.36417
03/08/2003	"arco"	"6001 goodyear rd, benecia"	2.139	5.691	174			"paid by kelsi"		113313	105563.6	30.5745914602003	0.0699600517241379	0.0690894016857814	14.474	30.959886	12.173049	1975.537219
03/12/2003	"arco"	"6407 telegraph"	2.119	13.642	400		0.35			113714	105963.6	29.3212138982554	0.072268495	0.702864171498858	1.42275	3.01480725	28.907398	2004.444617
03/26/2003	"arco"	"5131 shattuck"	2.179	14.271	382					114096	106345.6	26.7675705977156	0.0814044738219895	1.02624248643894	0.974428571428571	2.12327985714286	31.096509	2035.541126
04/05/2003	"xtra"	"2996 shattuck"	2.079	14.21	351					114448	106696.6	24.7009148486981	0.0841669230769231	0.700721743395697	1.4271	2.9669409	29.54259	2065.083716
04/12/2003	"number 1 gas"	"1800 mlk berkeley"	2.088	14.368	373					114821	107069.6	25.9604677060134	0.0804299839142091	0.492610837438424	2.03	4.23864	30.000384	2095.0841
04/20/2003	76	"134 pittman rd, cordelia ca"	1.999	14.972	372					115194	107441.6	24.8463799091638	0.080454376344086	0.556792873051225	1.796	3.590204	29.929028	2125.013128
04/29/2003	"unocal"	"5425 mlk oakland"	1.979	14.807	389					115584	107830.6	26.2713581414196	0.0753291850899743	0.601122094576543	1.66355555555556	3.29217644444444	29.303053	2154.316181
05/09/2003	"arco"	"3000 shattuck"	1.879	14.147	377		0.35			115962	108207.6	26.6487594543013	0.0705098488063661	0.675356250422098	1.4807	2.7822353	26.582213	2180.898394
05/19/2003	"unocal"	"5425 mlk oakland"	1.939	14.582	374					116336	108581.6	25.6480592511315	0.0756002620320856	0.706863646002686	1.4147	2.7431033	28.274498	2209.172892
05/28/2003	"ampm"	"shattuck/ashby"	1.799	14.509	397			"paid by kelsi"		116734	108978.6	27.3623268316218	0.0657473324937028	0.617199286791935	1.62022222222222	2.91477977777778	26.101691	2235.274583
05/30/2003	"chevron"	"200 so main st, yreka"	1.899	13.415	399			"cc to oregon"		117133	109377.6	29.7428251956765	0.0638473308270677	0.137845475222276	7.2545	13.7762955	25.475085	2260.749668
05/31/2003	"shell"	"?"	1.459	13.043	483			"yreka -> seattle, paid by kelsi"		117617	109860.6	37.0313578164533	0.0393990414078675	0.0745434215430488	13.415	19.572485	19.029737	2279.779405
06/02/2003	"oregon dunes deli mart"	"1575 hwy 121, reedsport, or"	1.779	12.927	445			"south WA -> reed city OR, cc, speed limit"		118063	110305.6	34.4240736443104	0.0516789505617977	0.153338955761711	6.5215	11.6017485	22.997133	2302.776538
06/03/2003	"valero"	"1894 university"	1.899	13.961	519			"paid by kelsi"		118582	110824.6	37.1749874650813	0.0510827341040462	0.0773574688636188	12.927	24.548373	26.511939	2329.288477
06/08/2003	"xtra"	"2996 shattuck"	1.729	14.463	425					119009	111249.6	29.3853280785453	0.0588388870588235	0.358140534345677	2.7922	4.8277138	25.006527	2354.295004
06/14/2003	76	"3200 lakeshore"	1.909	12.284	312			"paid by kelsi"		119321	111561.6	25.3988928687724	0.0751607564102564	0.414851690520639	2.4105	4.6016445	23.450156	2377.74516
06/15/2003	"valero"	"1894 university"	1.899	11.514	407			"(sic gallons)"		119724	111968.6	35.3482716692722	0.05372257002457	0.081406707912732	12.284	23.327316	21.865086	2399.610246
06/20/2003	"mlk super stop"	"5509 mlk, oakland"	1.899	14.066	427					120152	112395.6	30.356888952083	0.0625558173302108	0.434253951710961	2.3028	4.3730172	26.711334	2426.32158
06/28/2003	"chevron"	"3411 blume dr richmond"	1.939	14.593	403					120685	112798.6	27.6159802645104	0.0702129702233251	0.568747333996872	1.75825	3.40924675	28.295827	2454.617407
07/09/2003	76	"3200 lakeshore"	1.939	14.779	355			"reset at 359"		121040	113153.6	24.0205697273158	0.0807224816901408	0.753786061810457	1.32663636363636	2.57234790909091	28.656481	2483.273888
07/17/2003	"arco"	"5131 shattuck"	1.799	14.08	384					121429	113537.6	27.2727272727273	0.0659633333333333	0.541308613573314	1.847375	3.323427625	25.32992	2508.603808
07/26/2003	"shell"	"29 wildwood"	1.839	14.618	341						113878.6	23.3274045697086	0.0788343167155425	0.639204545454545	1.56444444444444	2.87701333333333	26.882502	2535.48631
